strategy,puzzle_file,runtime,backtracks,max_depth,recursive_calls
3,puzzles\puzzleHard_6.cnf,2982.0747973918915,7781,0,15628
1,puzzles\puzzleHard_7.cnf,1.5792491436004639,5,0,20
2,puzzles\puzzleHard_7.cnf,2.7349560260772705,42,0,112
3,puzzles\puzzleHard_7.cnf,2110.121325969696,5497,0,11068
1,puzzles\puzzleHard_8.cnf,1.4235146045684814,0,0,10
2,puzzles\puzzleHard_8.cnf,1.5318355560302734,1,0,10
3,puzzles\puzzleHard_8.cnf,2424.212441444397,7790,0,15635
1,puzzles\puzzleHard_9.cnf,1.5947494506835938,5,0,20
2,puzzles\puzzleHard_9.cnf,3.016573667526245,43,0,118
3,puzzles\puzzleHard_9.cnf,2591.2830560207367,6731,0,13516
1,puzzles\puzzle_1.cnf,1.5010933876037598,0,0,3
2,puzzles\puzzle_1.cnf,1.5008742809295654,0,0,2
3,puzzles\puzzle_1.cnf,1.7039074897766113,0,0,10
1,puzzles\puzzle_10.cnf,1.5798280239105225,2,0,11
2,puzzles\puzzle_10.cnf,1.500715970993042,0,0,8
3,puzzles\puzzle_10.cnf,12.298941850662231,23,0,70
1,puzzles\puzzle_100.cnf,1.4534990787506104,0,0,1
2,puzzles\puzzle_100.cnf,1.4693222045898438,0,0,1
3,puzzles\puzzle_100.cnf,1.5007030963897705,0,0,1
1,puzzles\puzzle_1000.cnf,1.5004353523254395,0,0,6
2,puzzles\puzzle_1000.cnf,1.5633759498596191,3,0,13
3,puzzles\puzzle_1000.cnf,6.689677953720093,20,0,54
1,puzzles\puzzle_1001.cnf,1.6257786750793457,8,0,19
2,puzzles\puzzle_1001.cnf,1.5321860313415527,0,0,2
3,puzzles\puzzle_1001.cnf,12.679592609405518,23,0,91
1,puzzles\puzzle_1002.cnf,1.5003204345703125,0,0,10
2,puzzles\puzzle_1002.cnf,1.5318825244903564,0,0,6
3,puzzles\puzzle_1002.cnf,9.676839828491211,38,0,84
1,puzzles\puzzle_1003.cnf,1.5633418560028076,8,0,27
2,puzzles\puzzle_1003.cnf,1.516597032546997,1,0,13
3,puzzles\puzzle_1003.cnf,1.8291146755218506,0,0,2
1,puzzles\puzzle_1004.cnf,1.4696259498596191,0,0,5
2,puzzles\puzzle_1004.cnf,1.4695971012115479,0,0,2
3,puzzles\puzzle_1004.cnf,2.2503104209899902,0,0,11
1,puzzles\puzzle_1005.cnf,1.469367504119873,0,0,2
2,puzzles\puzzle_1005.cnf,2.6164731979370117,0,0,2
3,puzzles\puzzle_1005.cnf,3.4079670906066895,3,0,26
1,puzzles\puzzle_1006.cnf,1.4374854564666748,1,0,5
2,puzzles\puzzle_1006.cnf,1.4850342273712158,1,0,5
3,puzzles\puzzle_1006.cnf,2.2673797607421875,0,0,8
1,puzzles\puzzle_1007.cnf,1.4847683906555176,0,0,4
2,puzzles\puzzle_1007.cnf,1.5322184562683105,4,0,13
3,puzzles\puzzle_1007.cnf,3.141925811767578,0,0,13
1,puzzles\puzzle_1008.cnf,1.5002586841583252,0,0,1
2,puzzles\puzzle_1008.cnf,1.6099908351898193,0,0,1
3,puzzles\puzzle_1008.cnf,1.548238754272461,0,0,1
1,puzzles\puzzle_1009.cnf,1.469996690750122,0,0,6
2,puzzles\puzzle_1009.cnf,1.4692785739898682,0,0,4
3,puzzles\puzzle_1009.cnf,1.9541733264923096,0,0,10
